,,,,,,,,,,,,Total element; mass number is for detection limit determination.,,,,,,,,,,,,,,,,,,,,,,,,
"Be, V, As, and Tl had NIST1640a (independent source verification) recoveries that were somewhat off from the true values, although everything else looks pretty good.  ",,,,,,,,,,,,Negative values are below detection.,,,,,,,,,,,,,,,,,,,,,,,,
Metal Values in ppb (ng/mL),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample #,Location,Material,Replicate,Day.deploy,Weight (g),Unbrushed,Optical.density of 15 beads (@ 595 nm),Lithium /  7,Beryllium /  9,Sodium /  23,Magnesium /  24,Aluminum /  27,Potassium /  39,Calcium /  44,Vanadium /  51,Chromium /  52,Manganese /  55,Iron /  56,Cobalt /  59,Nickel /  60,Copper /  63,Zinc /  66,Gallium /  71,Arsenic /  75,Selenium /  78,Rubidium /  85,Strontium /  88,Silver /  107,Cadmium /  111,Cesium /  133,Barium /  137,Thallium /  205,Lead /  208,Uranium /  238,,
114,EOS,PLA,3,1,1.1806,Unbrushed,0.11455,0.1156,-0.01036,49.66,45.35,53.86,14.07,11.87,2.356,0.01069,2.158,107.5,0.04515,0.2784,0.2378,0.9807,0.004467,0.2925,-0.1528,0.1018,0.1849,-0.0205,0.01024,-0.001414,0.2059,-0.01463,0.09304,0.001063,,
115,EOS,Glass,1,3,2.5617,Unbrushed,0.75019,0.4529,0.01596,3541,1183,1008,122.4,2047,1.679,0.7441,6.954,402.5,0.3164,0.855,0.365,362.3,0.1506,0.3512,-0.4528,0.3936,3.737,0.01061,0.04033,0.02464,3.795,-0.01413,0.4508,0.03188,,
116,EOS,LDPE,1,3,1.2077,Unbrushed,0.6221,0.5371,0.000665,146.6,327.6,382.2,93.34,110.8,1.52,0.951,17.73,735.4,0.3055,1.639,1.192,3.333,0.1083,0.3465,-0.4134,0.7508,1.645,-0.02616,0.01222,0.05777,1.47,-0.008887,0.6517,0.01069,,
117,EOS,PLA,1,3,1.1886,Unbrushed,0.32117,0.2661,-0.006445,125.5,168.9,188.2,57.8,55.02,1.698,1.145,10.27,364.6,0.1565,0.8288,0.5527,1.704,0.04837,0.231,-0.2261,0.4014,0.8392,-0.02507,0.01416,0.02653,0.776,-0.01428,0.3516,0.00703,,
118,EOS,Glass,2,3,2.5657,Unbrushed,0.69798,0.4567,0.01317,2955,1075,966.7,122.8,1786,1.528,0.4031,6.414,479.8,0.3095,1.029,1.123,314.3,0.1567,0.4001,-0.2104,0.4278,3.958,0.00625,0.03474,0.02552,3.516,-0.01332,0.4899,0.02497,,
119,EOS,LDPE,2,3,1.251,Unbrushed,0.58972,0.3118,-0.007603,14.62,179.1,221,44.74,55.87,1.608,0.4054,10.06,447.1,0.1901,1.004,0.9696,2.203,0.06972,0.3005,-0.285,0.426,0.9149,-0.02286,-0.005262,0.02743,1.094,-0.01268,0.4504,0.006528,,
120,EOS,PLA,2,3,1.1898,Unbrushed,0.2683,0.1463,-0.00528,28.23,77.05,89.43,24.73,22.01,3.237,0.2076,4.205,182.7,0.07495,0.408,0.3127,0.9239,0.01681,0.537,-0.1468,0.1852,0.3986,-0.03145,-0.001686,0.007418,0.368,-0.006424,0.1791,0.001248,,
121,EOS,Glass,3,3,2.5575,Unbrushed,0.71526,0.4675,0.01884,3512,1219,1066,130,2090,1.821,0.5349,7.116,446.8,0.3289,0.9276,0.6056,371.7,0.1623,0.4369,-0.2582,0.4326,3.799,0.01503,0.0503,0.02698,4.037,-0.01186,0.4712,0.03462,,
122,EOS,LDPE,3,3,1.2436,Unbrushed,0.46676,0.2378,-0.008473,-4.351,128.1,157.3,31.79,36.1,1.626,0.1914,6.872,330.4,0.1353,0.7201,0.7156,1.576,0.04691,0.3558,-0.2252,0.3197,0.7199,-0.02591,0.006462,0.01999,0.6059,-0.009923,0.3399,0.008947,,
123,EOS,PLA,3,3,1.2135,Unbrushed,0.35045,0.1651,-0.01125,274.4,120.9,108.9,45.16,38.2,2.276,0.1629,7.423,215.6,0.09939,0.5158,0.3976,1.362,0.03095,0.3872,-0.3788,0.2193,0.6293,-0.02608,0.01157,0.009166,0.4223,-0.008205,0.2045,-0.001054,,
124,EOS,Glass,1,7,2.5554,Unbrushed,0.84501,0.503,0.01123,4226,1236,920,241.7,1897,4.121,0.8538,13.21,521.2,0.347,1.085,0.5935,327.3,0.1411,0.7982,-0.2402,0.4928,4.037,0.002979,0.03689,0.02732,3.926,-0.01206,0.6324,0.02523,,
125,EOS,LDPE,1,7,1.2458,Unbrushed,0.87808,0.6103,0.002209,61.46,376.9,483,110,128.9,1.84,1.198,25.49,857.5,0.3592,2.003,1.438,3.528,0.1497,0.4117,-0.365,0.8792,1.98,-0.02557,0.01398,0.06801,1.846,-0.01071,0.7935,0.01957,,
126,EOS,PLA,1,7,1.225,Unbrushed,0.77458,0.4258,0.007024,511.2,307.7,296.6,122.4,166.1,1.166,0.7201,22.69,569.3,0.255,1.32,0.8871,3.379,0.08151,0.3014,-0.05941,0.5921,1.656,-0.03063,0.01125,0.03444,2.059,-0.00912,0.5415,0.00641,,
127,EOS,Glass,2,7,2.5559,Unbrushed,0.92157,0.6162,0.01402,3768,1238,1067,204.7,1981,1.857,0.822,16.88,641.7,0.4084,1.406,0.7421,345.1,0.1726,0.5159,-0.1048,0.647,3.679,0.001906,0.04421,0.03855,4.438,-0.01113,0.6926,0.0411,,
128,EOS,LDPE,2,7,1.2434,Unbrushed,1.1754,1.017,0.02113,1347,815.6,739.7,301.1,277,1.748,2.187,45.04,1384,0.6119,3.179,2.097,5.752,0.233,0.4768,-0.2899,1.393,4.37,-0.01853,0.01817,0.1101,2.369,-0.008047,1.27,0.03584,,
129,EOS,PLA,2,7,1.173,Unbrushed,0.62506,0.4575,-0.006829,759.6,349.4,318.3,155.7,119.2,0.5228,0.6277,27.02,596.8,0.2849,1.456,0.9583,3.581,0.09254,0.2008,-0.3843,0.646,1.807,-0.03335,-0.0013,0.04127,1.34,-0.01271,0.5447,0.008186,,
130,EOS,Glass,3,7,2.5632,Unbrushed,0.92775,0.5021,0.01192,3749,1186,921.4,181.7,1940,3.436,0.9377,13.09,494,0.3275,1.048,0.5888,336.6,0.1367,0.6932,-0.2229,0.4763,3.596,-0.007449,0.05008,0.03356,3.585,-0.004406,0.6032,0.03262,,
131,EOS,LDPE,3,7,1.2542,Unbrushed,1.2278,0.7144,0.005265,337.9,502.7,505,153.9,174.8,2.296,1.63,30.74,998.4,0.4282,2.31,1.681,4.751,0.1598,0.5148,-0.08192,1.014,2.828,-0.01625,-0.001753,0.08271,2.026,-0.01364,1.043,0.01786,,
132,EOS,PLA,3,7,1.1996,Unbrushed,0.56935,0.3535,-0.004172,2030,442.4,219.5,258.2,146.9,1.376,0.7442,19.46,438.9,0.2068,1.148,0.8066,4.136,0.05922,0.4452,-0.3427,0.4734,2.372,-0.01349,0.02739,0.02546,0.7467,-0.008985,0.4459,0.0073,,
133,EOS,Glass,1,14,2.5711,Unbrushed,0.77392,0.664,0.01726,3162,1075,955.4,197.9,1634,3.147,1.332,28.72,776.2,0.4454,1.76,1.119,287.1,0.1959,0.7469,-0.3701,0.771,3.404,-0.01668,0.0358,0.05565,4.301,-0.007413,0.9789,0.02921,,
134,EOS,LDPE,1,14,1.2271,Unbrushed,1.6837,1.512,0.03164,462.1,991,1091,297.8,366.6,2.479,3.619,123.4,2072,1.007,4.988,3.587,13.26,0.3337,0.7115,0.03414,2.047,5.415,-0.01807,0.02127,0.1755,3.845,-0.006504,2.02,0.04765,,
135,EOS,PLA,1,14,1.1859,Unbrushed,1.0192,0.6004,0.00274,111.9,402.1,411.9,106.4,145.8,-0.1178,1.021,74.52,852.7,0.4391,1.988,1.356,4.317,0.1323,0.1708,-0.2945,0.8432,2.485,-0.02949,0.0288,0.06552,1.384,-0.008708,0.9679,0.02056,,
136,EOS,Glass,2,14,2.5629,Unbrushed,1.0403,0.6412,0.01854,2936,1072,860.7,142.8,1686,1.577,1.146,27.99,810,0.4433,1.601,1.082,293.3,0.1795,0.5327,-0.08714,0.6718,3.562,-0.01321,0.06067,0.04808,3.857,-0.008186,1.105,0.02516,,
137,EOS,LDPE,2,14,1.2313,Unbrushed,1.3672,0.8284,0.01767,135.4,572.2,599,145.6,206.3,0.9422,1.826,90.65,1240,0.6127,2.801,2.063,5.665,0.1945,0.4246,-0.3636,1.181,3.575,-0.02669,0.03048,0.09549,2.193,-0.008463,1.37,0.02745,,
138,EOS,PLA,2,14,1.1788,Unbrushed,1.0388,0.6477,0.01161,480.5,474,450.3,152.7,189.3,0.1933,1.203,87.02,919.9,0.5138,2.212,1.506,7.048,0.1519,0.2289,-0.4389,0.9277,2.893,-0.02628,0.005158,0.07567,1.921,-0.009999,1.01,0.02469,,
139,EOS,Glass,3,14,2.5626,Unbrushed,0.74941,0.5872,0.01337,3075,1073,874.6,139.5,1766,0.9127,0.9117,19.35,699.6,0.3911,1.405,0.8419,315.8,0.1686,0.365,-0.4235,0.5869,3.145,-0.01511,0.03359,0.0419,4.178,-0.01177,0.9367,0.03063,,
140,EOS,LDPE,3,14,1.2084,Unbrushed,1.3259,0.8406,0.01484,294.1,581,618.2,161.8,223.7,1.559,1.964,81.61,1194,0.5952,2.802,2.338,8.646,0.2022,0.4564,-0.3675,1.146,3.237,-0.02196,0.01351,0.1034,2.313,-0.0004742,1.256,0.02184,,
141,EOS,PLA,3,14,1.1779,Unbrushed,0.99635,0.6134,0.004507,109.7,405.8,430.6,108.9,148.2,0.3308,1.23,70.04,888.9,0.4689,2.107,1.423,4.435,0.1414,0.2081,-0.3128,0.8794,2.473,-0.0297,0.02763,0.07047,1.739,-0.008216,0.9835,0.01725,,
142,EOS,Glass,1,28,2.5628,Brushed,0.95932,0.7741,0.03448,2476,1064,892.9,199.7,1387,1.226,1.527,96.58,1017,0.6796,2.377,2.168,228.9,0.2019,0.5841,-0.3002,0.9615,4.557,-0.02075,0.0505,0.07429,3.871,-0.0122,1.504,0.04206,,
143,EOS,LDPE,1,28,1.2315,Brushed,1.7824,4.138,0.1079,2359,2946,2852,862.4,1619,8.831,10.81,428.5,5643,3.516,14.04,10.79,32.21,1.022,2.063,0.07167,5.224,21.15,-0.00828,0.156,0.4453,9.43,0.01236,5.681,0.1467,,
144,EOS,PLA,1,28,1.202,Brushed,1.2625,1.698,0.03803,64.95,1109,1214,265.1,417.3,2.432,4.041,308.5,2383,1.836,5.853,4.797,12.07,0.4322,0.7461,-0.5107,2.339,6.481,-0.01905,0.02787,0.1992,4.224,-0.002581,2.845,0.04991,,
145,EOS,Glass,2,28,2.568,Brushed,0.80858,0.5563,0.006007,2177,877.9,695.4,130.6,1303,0.2568,0.7668,32.65,852.9,0.3922,1.413,0.9791,229.7,0.1615,0.5542,-0.2419,0.6551,3.578,-0.02668,0.03311,0.04695,3.236,-0.006408,1.513,0.02279,,
146,EOS,LDPE,2,28,1.2176,Brushed,1.5021,2.309,0.06926,1259,1647,1705,495.5,641.2,4.053,5.811,238.9,3271,1.792,7.644,5.282,17.52,0.5729,1.11,-0.3062,3.139,10.93,-0.01465,0.02794,0.2774,5.553,0.005753,3.696,0.09001,,
147,EOS,PLA,2,28,1.1783,Brushed,1.3862,1.976,0.03838,444.2,1267,1535,370.3,465.9,2.687,4.761,284.1,2712,1.787,6.343,4.161,11.78,0.5022,0.7492,-0.1854,2.656,7.232,-0.02134,0.02097,0.2162,5.88,-0.003481,3.027,0.07307,,
148,EOS,Glass,3,28,2.567,Brushed,0.65636,0.4599,0.007948,2912,950.7,691.5,133,1751,-0.0009465,0.3752,30.25,684.5,0.3597,1.009,0.8139,280.1,0.1288,0.4191,-0.4724,0.4544,4.525,-0.02338,0.0271,0.03043,3.314,-0.008117,1.315,0.02572,,
149,EOS,LDPE,3,28,1.2385,Brushed,1.4323,2.486,0.05708,840.3,1710,1797,433.1,1074,4.154,6.591,272,3553,2.025,8.265,5.596,17.78,0.6033,1.228,-0.3055,3.276,12.79,-0.01025,0.04428,0.2833,6.403,0.004247,3.791,0.0961,,
150,EOS,PLA,3,28,1.2252,Brushed,1.3521,1.527,0.02806,180.3,1081,1140,259.8,3772,11.56,4.29,263.3,2066,1.554,5.116,4.166,11.09,0.3972,1.73,-0.298,2.087,35.31,0.118,0.02522,0.1766,3.973,-0.003017,2.453,0.05789,,
