,,,,,,,,,,,,Total element; mass number is for detection limit determination.,,,,,,,,,,,,,,,,,,,,,,,,
"Be, V, As, and Tl had NIST1640a (independent source verification) recoveries that were somewhat off from the true values, although everything else looks pretty good.  ",,,,,,,,,,,,Negative values are below detection.,,,,,,,,,,,,,,,,,,,,,,,,
Metal Values in ppb (ng/mL),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample #,Location,Material,Replicate,Day.deploy,Weight (g),Unbrushed,Optical.density of 15 beads (@ 595 nm),Lithium /  7,Beryllium /  9,Sodium /  23,Magnesium /  24,Aluminum /  27,Potassium /  39,Calcium /  44,Vanadium /  51,Chromium /  52,Manganese /  55,Iron /  56,Cobalt /  59,Nickel /  60,Copper /  63,Zinc /  66,Gallium /  71,Arsenic /  75,Selenium /  78,Rubidium /  85,Strontium /  88,Silver /  107,Cadmium /  111,Cesium /  133,Barium /  137,Thallium /  205,Lead /  208,Uranium /  238,,
54,CMA,PLA,1,3,1.2251,Unbrushed,0.17832,0.2319,-0.009794,-4.243,56.81,76.91,17.22,24.16,2.388,0.2411,3.703,156.6,0.07238,0.3466,0.3115,0.637,0.02329,0.3292,-0.1967,0.1505,0.276,-0.01088,0.01764,0.001881,0.4076,-0.01198,0.119,-0.0004926,,
55,CMA,Glass,2,3,2.5669,Unbrushed,0.70559,0.4908,0.01,2885,1064,1013,110.7,1823,3.248,0.5659,4.664,330.7,0.2981,0.8464,1.444,324.7,0.2569,0.547,-0.4771,0.3729,3.436,0.05128,0.05326,0.0215,3.594,-0.006251,0.3543,0.02963,,
56,CMA,LDPE,2,3,1.2049,Unbrushed,0.329,0.4338,0.00133,33.18,195.4,251.6,55.29,71.29,2.846,0.8092,12.65,508.5,0.244,1.136,2.009,2.555,0.08883,0.9198,-0.3165,0.4692,0.9875,-0.001078,0.01782,0.03571,1.143,-0.01191,0.3804,0.006099,,
57,CMA,PLA,2,3,1.2163,Unbrushed,0.18851,0.2319,-0.01034,-2.927,68.17,93.22,19.7,37.28,2.289,0.3377,4.633,182.5,0.09154,0.4255,0.3782,0.988,0.0343,0.3451,-0.5276,0.1901,0.358,-0.01909,0.007635,0.006005,0.4843,-0.01429,0.1365,0.0006514,,
58,CMA,Glass,3,3,2.565,Unbrushed,0.55794,0.5474,0.01355,2753,1052,1038,114.9,1743,3.294,0.6377,6.7,443.9,0.3386,1.254,1.135,309.2,0.2677,0.4451,-0.3729,0.4968,3.721,0.04298,0.06385,0.02874,4.032,-0.01065,0.4117,0.03804,,
59,CMA,LDPE,3,3,1.1829,Unbrushed,0.27875,0.29,-0.008925,2.204,112.7,154.7,30.68,40.13,2.817,0.4402,7.158,306.7,0.1395,0.6941,1.102,1.368,0.0499,0.3956,-0.3552,0.282,0.5682,-0.01402,0.00405,0.01606,0.7166,-0.01247,0.2422,0.003063,,
60,CMA,PLA,3,3,1.1785,Unbrushed,0.15657,0.1881,-0.006902,107.6,64.24,72.75,23.07,31.53,2.905,0.1414,3.516,140.5,0.06552,0.3099,0.4217,0.8321,0.02861,0.4035,-0.296,0.1363,0.3079,-0.01557,0.01211,0.002242,0.3593,-0.009462,0.09475,0.002974,,
61,CMA,Glass,1,7,2.5657,Unbrushed,0.69225,0.5517,0.01673,2969,1110,1160,147.5,1817,2.384,0.7128,8.631,478,0.3646,1.216,0.8863,325.9,0.2499,0.4352,-0.5339,0.5221,3.76,0.03162,0.0501,0.02878,4.298,-0.00872,0.445,0.03413,,
62,CMA,LDPE,1,7,1.2099,Unbrushed,0.73957,0.7522,0.005278,49.53,436.3,542.1,112.3,160,2.468,1.837,31.28,1081,0.5415,2.497,2.029,4.35,0.1776,0.4423,-0.366,1.027,2.129,-0.009236,0.009783,0.08594,2.632,-0.01078,0.841,0.01737,,
63,CMA,PLA,1,7,1.1827,Unbrushed,0.24725,0.1857,-0.01297,14.55,57.38,76.19,16.22,31.27,1.615,0.09472,6.479,155.3,0.08361,0.3809,0.3714,0.7639,0.02636,0.1647,-0.5431,0.1398,0.2786,-0.02036,0.0172,0.004223,0.3749,-0.01482,0.1236,-0.00435,,
64,CMA,Glass,2,7,2.5596,Unbrushed,0.78895,0.4383,0.007909,2788,995.3,1033,156.4,1605,2.095,0.3461,8.803,390.8,0.3239,0.9817,0.7143,283.4,0.2278,0.387,-0.3124,0.4536,3.625,0.02124,0.0427,0.0218,3.299,-0.01301,0.389,0.02515,,
65,CMA,LDPE,2,7,1.2571,Unbrushed,0.69367,0.6465,0.002455,186,370.6,450,100.7,139.3,2.676,1.314,25.99,886.8,0.462,2.055,1.756,4.043,0.1589,0.3456,-0.2928,0.8506,1.844,-0.01002,0.004572,0.07136,1.927,-0.00999,0.6766,0.0114,,
66,CMA,PLA,2,7,1.1801,Unbrushed,0.26113,0.2263,-0.01029,9.815,81.17,109.1,20.67,32.34,1.376,0.07494,8.899,223.3,0.1208,0.5234,0.4188,1.083,0.03513,0.1999,-0.4611,0.2106,0.3928,-0.02233,-0.0000627,0.009986,0.4768,-0.01101,0.1726,-0.0005996,,
67,CMA,Glass,3,7,2.5765,Unbrushed,0.74238,0.545,0.01406,3119,1148,1211,152,1888,2.039,0.5799,8.295,465.4,0.3578,1.089,0.7706,336.7,0.2512,0.3471,-0.3724,0.5124,3.735,0.02398,0.04842,0.02791,3.888,-0.01436,0.4228,0.0324,,
68,CMA,LDPE,3,7,1.2097,Unbrushed,0.77863,0.6167,0.0007778,15.31,351.8,422.6,88.74,121.6,2.533,1.101,24.09,869.1,0.4447,1.975,1.724,3.791,0.1413,0.4167,-0.5315,0.8693,1.698,-0.01605,0.03047,0.0676,2.161,-0.01128,0.6522,0.01385,,
